Rank,ASIN_ISBN,Title,Frequency
1,B074CRK54X,"Amazon Brand - Presto! Mega Roll Toilet Paper, Ultra-Soft, 6 Count (Pack of 4), 24 Family Mega Rolls = 120 regular rolls",112
2,B004CQWWKY,"FIJI Natural Artesian Water, 16.9 Fl Oz (Pack of 24)",108
3,B01B5KAAUS,"Quilted Northern Ultra Plush Toilet Paper, 24 Supreme Rolls = 105 Regular Rolls, 3-ply Bath Tissue",108
4,B074CR89QG,"Amazon Brand - Presto! Flex-a-Size Paper Towels, 158-Sheet Huge Roll, 6 Count (Pack of 2), 12 Huge Rolls = 38 Regular Rolls",92
5,B074CRK54X,"Amazon Brand - Presto! 308-Sheet Mega Roll Toilet Paper, Ultra-Soft, 6 Count (Pack of 4), 24 Mega Rolls = 112 regular rolls",83
6,B00495Q5OW,"Listerine Total Care Anticavity Fluoride Mouthwash, 6 Benefits in 1 Oral Rinse Helps Kill 99% of Bad Breath Germs, Prevents Cavities, Strengthens Teeth, ADA-Accepted, Fresh Mint, 1 L",74
7,B01BUNHFQM,"Tide PODS Laundry Detergent Soap Pods, Spring Meadow, 81 count",72
8,B07MXW9HK1,"Red Bull Energy Drink, Peach-Nectarine, 12 fl oz (Pack of 24)",70
9,B00Q70RCW6,"Lysol Disinfectant Wipes, Multi-Surface Antibacterial Cleaning Wipes, For Disinfecting and Cleaning, Lemon and Lime Blossom, 80 Count (Pack of 4)",65
10,B071GXMSM9,"Maxwell House International Cafe Hazelnut Instant Coffee (9 oz Canisters, Pack of 4)",62
11,B06XX33G82,"Finish - All in 1 - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent, 94 Count (Pack of 1) - Packaging May Vary",61
12,B07NQNS9CR,"Kleenex Ultra Soft Facial Tissues, 120 Count (Pack of 8) (960 Total Tissues)",60
13,B00MNV8E0C,"Amazon Basics 48 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",57
14,B000JZ3576,"Airheads Candy Bars, Variety Bulk Box, Chewy Full Size Fruit Taffy, Back to School, Halloween, Non Melting, Concessions, Parties, 90 Individually Wrapped Full Size Bars (Packaging May Vary)",57
15,B0083GJLT4,"ORBIT Bubblemint Sugarfree Gum, 8.8-Ounce Resealable Bag, 180 Pieces",56
16,B00HFC2E82,"Welch's Fruit Snacks, Mixed Fruit, Gluten Free, Bulk Pack, 0.9 oz Individual Single Serve Bags 40 Count (Pack of 1)",56
17,B0798C1NYR,Charmin Ultra Strong Toilet Paper (Old),55
18,B01M64FECB,"ARM & HAMMER Clump & Seal Platinum Cat Litter, Multi-Cat, 40 lb",55
19,B00PV4FG3Q,"Koffee Kult Dark Roast Whole Bean Coffee - Small Batch Gourmet Aromatic Artisan Blend 100% Arabica Coffee Beans Organically Sourced (Dark Roast, 32oz)",55
20,B07VTJDPJQ,"ALKA-SELTZER PLUS Maximum Strength PowerMax Allergy and Cough Medicine, Liquid Gels for Adults with Pain Reliever, Fever Reducer, Cough Suppressant, Antihistamine, Nasal Decongestant, 24 Count",54
21,B005HG9ESG,"Essentia Bottled Water, 1 Liter, 12-Pack, Ionized Alkaline Water:99.9% Pure, Infused With Electrolytes, 9.5 pH Or Higher With A Clean, Smooth Taste",49
22,B00OLSAVDI,"Sheba Perfect Portions Paté Wet Cat Food Trays, 24 Twin-Packs",49
23,B00NTCH52W,"Amazon Basics 20 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",48
24,B07FRYSZ1Y,"Poise Overnight Incontinence Pads for Women, Ultimate Absorbency, 24 Count (Pack of 2) (Packaging May Vary)",48
25,B001ET76AI,"TheraBreath Fresh Breath Dentist Formulated Oral Rinse, Mild Mint, 16 Ounce (Pack of 2)",48
26,B00CRATSRC,"Mrs. Meyer's Liquid Laundry Detergent, Biodegradable Formula Infused with Essential Oils, Lemon Verbena, 64 oz (64 Loads)",46
