Rank,ASIN_ISBN,Title,Frequency
1,B00T0C9XRK,essence | Lash Princess False Lash Effect Mascara | Gluten & Cruelty Free,47
2,B074Y8LM6T,"NYX PROFESSIONAL MAKEUP Epic Ink Liner, Waterproof Liquid Eyeliner - Black, Vegan Formula",29
3,B0017T2MWW,"Ito En Tea Oi Ocha Green Tea, Unsweetened, 16.9 Ounce (Pack of 12)",25
4,B001KYQ7LG,"Nailene Ultra Quick Nail Glue, 0.10 oz – Durable, Easy to Apply False Nail Glue – Repairs Natural Nails – Quick-Drying Nail Adhesive Lasts Up to 7 Days – Nail Care Essential",24
5,B01BMMOAFU,"KISS Strip Eyelash Adhesive, Clear 0.176 Oz KPLGL01",21
6,B07H2V5YLH,"Ailun Glass Screen Protector Compatible for iPhone 11/XR,6.1 Inch 3 Pack Tempered Glass",20
7,B00NR1YQHM,"Neutrogena Hydro Boost Face Moisturizer with Hyaluronic Acid for Dry Skin, Oil-Free and Non-Comedogenic Water Gel Face Lotion, 1.7 oz",19
8,B003CJP13W,"NIVEA Skin Firming and Toning Body Gel Cream with Q10, Firming Body Cream, Moisturizing Skin Cream, 6.7 Oz Tube",18
9,B00014FTTM,REVIVA LABS - Reviva DMAE Concentrate (1.oz),16
10,B010NE2XPC,"DUDE Wipes Flushable Wipes - 6 Pack, 288 Wipes - Unscented Wet Wipes with Vitamin-E & Aloe for at-Home Use - Septic and Sewer Safe",16
11,B0787GLBMV,"Schick Hydro Silk Touch-Up Dermaplaning Tool, 3 Count | Eyebrow Razor, Face Razors for Women, Face Shaver, Dermaplane",15
12,B00IH0ATBA,"Tree Hut Shea Sugar Scrub, Passion Fruit and Guava, 18 Ounce",15
13,B01H05EDK0,"MelodySusie Portable Electric Nail Drill, Compact Efile Electrical Professional Nail File Kit for Acrylic, Gel Nails, Manicure Pedicure Polishing Shape Tools Design for Home Salon Use, Purple",15
14,B00DNK5UR2,"Rimmel Scandaleyes Waterproof Gel Eye Liner Pencil, Black 001",15
15,B000BNG4VU,"Coty Airspun Loose Face Powder, Translucent, Pack of 1",14
16,B01B0488QM,"Sweetleaf Sweet Drops Liquid Stevia Sweetener, Carmel, 1.7 Ounce",14
17,B00E1EK81W,"SKITTLES Original Chewy Candy Grab N Go, 9 oz Bag",14
18,B0018CLIKA,"The Rawhide Express Assorted Flavors Strips/Chips Dog Chew, 1-Pound",14
19,B079QHML21,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision,14
20,B07B3SJDHZ,"Purina Beyond Simply, Natural Chicken Adult Dry Dog Food & Puppy Food",14
21,B079B8BFR3,"KISS Looks So Natural False Eyelashes Multipack, Lightweight & Comfortable, Tapered End Technology, Reusable, Cruelty-Free, Contact Lens Friendly, Style 'Shy', 5 Pairs Fake Eyelashes",13
22,B00005Q50D,"Clear Care CARE Cleaning & Disinfection Solution with Lens Case, Clear, 12 Fl Oz",13
23,B00I65AGHI,Naturenetics HairAnew Hair Growth Vitamins for Women & Men - Hair Vitamins For Faster Hair Growth & Thickness - Part of Proceeds go to Hair Loss Charity - Vegan Hair Supplement For Hair Skin Nails (1),13
24,B00H5PJ0HW,"Nature’s Bounty Magnesium, Bone and Muscle Health, Tablets, 500 mg, 200 Ct",13
25,B07BL69CD2,"Orgain Hydrolyzed Collagen Peptides Powder, 20g Grass Fed Collagen - Hair, Skin, Nail, & Joint Support Supplement, Paleo & Keto, Non-GMO, Type I and III, 1lb (Packaging May Vary)",13
26,B00NYQSIY2,Vaseline Lip Balm for Instantly Soft Smooth Lips Crème Brûlée Lip Balm Locks In Moisture to Improve Hydration 0.25 oz,13
27,B007DGRT3K,"Tree Hut Shea Sugar Scrub Tropical Mango, 18oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care",13
28,B07BT1RNQR,White Kraft Butcher Paper Roll USA - 18In x 200Ft (2400 Inch) - Food Grade – Great Smoking Wrapping Paper for Meat of all Varieties – Made in USA – Unwaxed and Uncoated,12
29,B000WQJKM6,"Nature's Sunshine Chlorophyll Liquid, 16 Fl Oz, Kosher | Fresh Mint Chlorophyllin Assists Detoxification and Provides Intestinal, Immune, and Digestive System Support",12
30,B00FH692PQ,"PURA D'OR Original Gold Label Anti-Thinning Biotin Shampoo, CLINICALLY TESTED Proven Results, Herbal DHT Blocker Hair Thickening Products For Women & Men, Natural Shampoo For Color Treated Hair, 16oz",12
31,B08BW46XXK,Vanicream Daily Facial Moisturizer - 3 fl oz - Formulated Without Common Irritants for Those with Sensitive Skin,12
32,B081FZKLYK,"KOS Plant Based Protein Powder, Chocolate USDA Organic - Low Carb Pea Protein Blend, Vegan Superfood with Vitamins & Minerals - Keto, Soy, Dairy Free - Meal Replacement for Women & Men - 15 Servings",12
33,B01415QHYW,"amFilm Glass Screen Protector for iPhone 8, 7, 6S, 6 (4.7 Inch)(2 Pack) Tempered Glass Screen Protector",11
34,B017PCGABI,"Garnier SkinActive Micellar Water for All Skin Types, Facial Cleanser & Makeup Remover, 13.5 fl. Oz, 1 count (Packaging May Vary)",11
35,B01MSSDEPK,"CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",11
36,B00N1NBOV2,Baby Registry Welcome Box,11
37,B07DXWG734,A-SUB Sublimation Paper Heat Transfer 110Sheets 13 x 19 Inches Super Size Compatible with Inkjet Printer 120gsm,11
38,B07RBRDTMW,"Fuxury Bubble Mailer, 6x10 Inch Bubble Mailers 25 Pack, Self-Seal Adhesive Padded Envelopes, Water Resistant Mailers, Shipping Envelopes for Packaging, Small Business, Mailing,Bulk Teal #0",11
39,B000F4W02M,"Nutramax Cosequin Joint Health Supplement for Cats - With Glucosamine and Chondroitin, 80 Capsules",11
40,B005OB3E30,"Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (24) 3 oz. Cans",11
41,B07ZK3NSJQ,Fresh Step Advanced Clumping Cat Litter,10
42,B00ID1A5TO,"L'Oréal Paris Advanced Hairstyle Sleek It Iron Straight Heat Spray, 5.7 Ounce",10
43,B01N1LL62W,"CeraVe Foaming Facial Cleanser | Daily Face Wash for Oily Skin with Hyaluronic Acid, Ceramides, and Niacinamide| Fragrance Free Paraben Free | 16 Fluid Ounce",10
44,B000NWAOHE,"Neutrogena Oil-Free Liquid Eye Makeup Remover, Residue-Free, Non-Greasy, Gentle & Skin-Soothing Makeup Remover Solution with Aloe & Cucumber Extract for Waterproof Mascara, 5.5 fl. oz",10
45,B002IY5G4G,Wildberry Special Blend 22 Stick Incense - 100 Count,10
46,B006Y7WP7E,"Cameron's Coffee Roasted Ground Coffee Bag, Flavored, Highlander Grog, 12 Ounce",10
47,B00WZRJSPY,"NYX PROFESSIONAL MAKEUP Micro Brow Pencil, Eyebrow Pencil - Taupe",10
48,B019W9VYPY,"Wysong Ferret Epigen 90 Digestive Support - Starch Free Dry Natural Food for Ferrets,5 Pound (Pack of 4)",10
49,B019W9VXZK,Wysong Ferret Epigen 90 Digestive Support - Dry Ferret Food - 5 Pound Bag,10
50,B0787GLBMV,"Schick Hydro Silk Touch-Up Exfoliating Dermaplaning Tool, Face & Eyebrow Razor with Precision Cover- 3 Count | Dermaplaning Razor For Women",10
51,B006FUL4AE,"Sparkling Ice, Classic Lemonade Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 oz Bottles (Pack of 12)",10
52,B00EY9MJR0,"Rimmel Stay Matte Foundation, Ivory, 1 Fluid Ounce",10
53,B00B4YVU4G,"NYX PROFESSIONAL MAKEUP Makeup Setting Spray - Matte Finish, Long-Lasting Vegan Formula (Packaging May Vary)",10
54,B002Y27JRE,"Nature’s Bounty Cranberry 4200mg With Vitamin C, Urinary Health & Immune Support, Cranberry Concentrate, 250 Rapid Release Softgels",10
55,B075MN16LD,"Goody's Extra Strength Headache Powder, Mixed Fruit Blast Flavor Dissolve Packs, 24 Individual Packets, 2 Pack",10
56,B006CVXR10,8 oz Mia Secret Liquid Monomer - Professional Acrylic Nail Liquid for Acrylic Powder - EMA monomer - Nail Monomer liquid - ema monomer acrylic nail liquid,10
57,B06X16Z7DZ,"Apple EarPods Headphones with 3.5mm Plug. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds",10
58,B00VMXZXTM,"Schwarzkopf Color Ultime Permanent Hair Color Cream, 4.2 Mahogany Red",10
59,B07PXGQC1Q,"Apple AirPods (2nd Generation) Wireless Earbuds with Lightning Charging Case Included. Over 24 Hours of Battery Life, Effortless Setup. Bluetooth Headphones for iPhone",10
60,B00SNOP3QQ,32 oz Mia Secret Liquid Monomer - Professional Acrylic Nail Liquid for Acrylic Powder - EMA monomer - Nail Monomer liquid - ema monomer acrylic nail liquid,10
61,B01LXJFMGF,Apple Lightning to 3.5 mm Headphone Jack Adapter,10
62,B0791TX5P5,"Fire TV Stick streaming device with Alexa built in, includes Alexa Voice Remote, HD, latest release",9
63,B0747G31KF,"Fish Oil Omega 3 EPA & DHA 2250 mg - Burpless Lemon Flavor Triple Strength Supplement with Fatty Acids from Wild Icelandic Fish - Supports Joint, Eyes, Brain & Skin Health - Non GMO - 90 Softgels",9
64,B09KZ6TBNY,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",9
65,B00QY1XZ4W,Vanicream Gentle Facial Cleanser with Pump Dispenser - 8 fl oz - Formulated Without Common Irritants for Those with Sensitive Skin,9
66,B08XVRYSMY,"Long Coffin Nail Tips - 300pcs XXL C Curve Nail Tips Clear, INFELING Acrylic Nail Tips Half Cover False Fake Nail Tips with Case for Nail Salons Home, 10 Sizes",9
67,B00JLACHYM,"GoodSense ClearLax, Polyethylene Glycol 3350 Powder for Solution, Osmotic Laxative, 17.9 Ounce (Pack of 3)",9
68,B01KQLULJW,"Smartfood White Cheddar Flavored Popcorn, 0.625 Ounce (Pack of 40)",9
69,B019EXWVQY,Organys Lash & Brow Booster Serum Gives You Longer Fuller Thicker Looking Eyelashes & Eyebrows. Bestselling Conditioner Stimulates The Appearance Of Growth & Regrowth. Natural Eye Lash Oil Free Enhancer,9
70,B000WGEMXS,"Thai Kitchen Gluten Free Peanut Satay Sauce, 8 fl oz",9
71,B00FY7X7JA,Gold Finger Full Cover Nails Gel Glam Ready to Wear Gel Manicure Long Nails,9
72,B005G9E9AW,"NYX PROFESSIONAL MAKEUP Mechanical Eyeliner Pencil, Black",9
73,B0018CIB4Q,"The Rawhide Express Peanut Butter Flavored Dog Chew, 1-Pound",9
74,B0054HLTBI,Mia Secret Clear Acrylic Powder (8oz),9
75,B07QHS3PL8,Flex Menstrual Discs | Disposable Period Discs | Reduce Cramps & Dryness | Beginner-Friendly Tampon Alternative | Capacity of 5 Super Tampons | Made in Canada | 12 Count,9
76,B0113UZJE2,"Etekcity Food Kitchen Scale, Digital Grams and Ounces for Weight Loss, Baking, Cooking, Keto and Meal Prep, LCD Display, Medium, 304 Stainless Steel",9
77,B004Y9GVZG,"Maybelline Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer, 150, 1 Count (Packaging May Vary)",9
78,B00RH8W9KW,i-Envy by KISS Super Strong Hold Eyelash Adhesive Black KPEG05 Brush On Latex Free 0.18oz,9
79,B01M0GB8CC,"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone",9
80,B07G31SQZ7,"Gel UV LED Nail Lamp,LKE Nail Dryer 40W Gel Nail Polish UV LED Light with 3 Timers Professional for Nail Art Tools Accessories White",9
